"","country","countryCode","region","year","count","population","share","lifeExpectency","undernourishment","unemployment","gdpPerCapita","politicalStability","ruleOfLaw","tertiaryEducation"
"1","Afghanistan","004","Asia/Pacific",1990,7700000,12045660,63.9,45.1,NA,NA,NA,NA,NA,2.5
"2","Afghanistan","004","Asia/Pacific",1995,4370000,17065836,25.6,52.1,NA,11.5,NA,NA,NA,NA
"3","Afghanistan","004","Asia/Pacific",2000,4780000,20130327,23.8,55,NA,11.5,174.9,0.5,-1.8,NA
"4","Afghanistan","004","Asia/Pacific",2005,4160000,24404567,17,58.2,34.2,11.4,254.2,2.4,-1.7,NA
"5","Afghanistan","004","Asia/Pacific",2010,5310000,28284089,18.8,60.7,19.4,11.5,560.6,1.4,-1.9,NA
"6","Afghanistan","004","Asia/Pacific",2015,5490000,33831764,16.2,62.3,20,11.4,565.6,1,-1.5,NA
"7","Afghanistan","004","Asia/Pacific",2020,5950000,39068979,15.2,61.5,27.7,NA,510.8,0.5,-1.8,10.9
"8","Albania","008","Europe",1990,180000,3286542,5.5,72.7,NA,NA,617.2,NA,NA,8.2
"9","Albania","008","Europe",1995,5e+05,3187784,15.7,74,NA,16.5,750.6,NA,NA,10
"10","Albania","008","Europe",2000,830000,3089027,26.9,74.8,NA,16.6,1126.7,29.6,-1,NA
"11","Albania","008","Europe",2005,970000,3011487,32.2,76.4,8.9,16.5,2673.8,29.6,-0.8,22.4
"12","Albania","008","Europe",2010,1120000,2913021,38.5,78.4,5.4,14.1,4094.3,38.4,-0.4,43.3
"13","Albania","008","Europe",2015,1150000,2880703,39.9,78.4,4.4,17.1,3952.8,58.1,-0.3,62
"14","Albania","008","Europe",2020,1260000,2837849,44.4,77.8,4.4,NA,5370.8,50,-0.4,61.6
"15","Algeria","012","Middle East/North Africa",1990,930000,25375810,3.7,67.7,NA,NA,2445.2,NA,NA,10.1
"16","Algeria","012","Middle East/North Africa",1995,990000,28470191,3.5,67.7,NA,31.8,1466.9,NA,NA,10.3
"17","Algeria","012","Middle East/North Africa",2000,1050000,30903893,3.4,70.6,NA,29.8,1772.9,10.1,-1.2,NA
"18","Algeria","012","Middle East/North Africa",2005,1610000,33109249,4.9,72.8,6.2,15.3,3233.1,20.4,-0.8,20.8
"19","Algeria","012","Middle East/North Africa",2010,1660000,36188236,4.6,74.1,4.1,10,4912.8,11.8,-0.8,31
"20","Algeria","012","Middle East/North Africa",2015,1850000,40019529,4.6,75.2,2.6,11.2,4685.1,11.9,-0.9,38.3
"21","Algeria","012","Middle East/North Africa",2020,2040000,44042091,4.6,73.3,2.5,NA,3743.5,17.9,-0.8,53.6
"22","American Samoa","016","Asia/Pacific",1990,NA,46640,NA,71.1,NA,NA,NA,NA,NA,NA
"23","American Samoa","016","Asia/Pacific",1995,NA,52316,NA,71.6,NA,NA,NA,NA,NA,NA
"24","American Samoa","016","Asia/Pacific",2000,NA,56855,NA,71.4,NA,NA,NA,NA,NA,NA
"25","American Samoa","016","Asia/Pacific",2005,NA,56617,NA,72.4,NA,NA,8831.3,68.4,1.1,NA
"26","American Samoa","016","Asia/Pacific",2010,NA,55228,NA,72.6,NA,NA,10375.2,80.1,1.1,NA
"27","American Samoa","016","Asia/Pacific",2015,NA,52878,NA,72.7,NA,NA,12727.4,91,1.3,NA
"28","American Samoa","016","Asia/Pacific",2020,NA,49761,NA,72.7,NA,NA,14489.3,87.7,1.1,NA
"29","Andorra","020","Europe",1990,NA,52597,NA,79,NA,NA,19563.7,NA,NA,NA
"30","Andorra","020","Europe",1995,NA,63912,NA,80.8,NA,NA,18443.3,NA,NA,NA
"31","Andorra","020","Europe",2000,NA,65685,NA,81.9,NA,NA,21810.2,86.8,1.3,NA
"32","Andorra","020","Europe",2005,NA,77421,NA,83.1,NA,NA,40829.8,99,1,7.9
"33","Andorra","020","Europe",2010,NA,80706,NA,84.2,NA,NA,42746.8,93.8,1.2,NA
"34","Andorra","020","Europe",2015,NA,72174,NA,84.5,NA,NA,38654.9,97.6,1.5,13.9
"35","Andorra","020","Europe",2020,10000,77380,12.9,79.4,NA,NA,37361.1,99.1,1.6,15.1
"36","Angola","024","Sub-Saharan Africa",1990,9e+05,11626360,7.7,41.9,NA,NA,965.9,NA,NA,0.6
"37","Angola","024","Sub-Saharan Africa",1995,720000,13699778,5.3,46.1,NA,3.8,404.3,NA,NA,NA
"38","Angola","024","Sub-Saharan Africa",2000,990000,16194869,6.1,46.5,NA,3.8,563.7,1.6,-1.6,NA
"39","Angola","024","Sub-Saharan Africa",2005,8e+05,19291161,4.2,52.1,52.2,3.8,1916.5,21.4,-1.5,2.6
"40","Angola","024","Sub-Saharan Africa",2010,760000,23294825,3.3,57.2,22.8,9.4,3597.3,37.9,-1.3,NA
"41","Angola","024","Sub-Saharan Africa",2015,660000,28157798,2.3,61,14,7.3,3213.9,28.1,-1,8.7
"42","Angola","024","Sub-Saharan Africa",2020,7e+05,33451132,2.1,63.1,20.5,NA,1449.9,24.5,-1,NA
"43","Anguilla","660","Latin America/Caribbean",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Anguilla","660","Latin America/Caribbean",2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Anguilla","660","Latin America/Caribbean",2005,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA
"46","Anguilla","660","Latin America/Caribbean",2010,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
"47","Anguilla","660","Latin America/Caribbean",2015,NA,NA,NA,NA,NA,NA,NA,NA,-0.1,NA
"48","Anguilla","660","Latin America/Caribbean",2020,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
